strategy_name,session_date,direction,signal_type,entry_time,exit_time,entry_price,exit_price,underlying_at_entry,underlying_at_exit,quantity,gross_pnl,net_pnl,charges,pnl_pct,exit_reason,partial_booked,rsi_at_signal,atr_at_signal
EMATrendRide,2026-05-25,CE,EMA_TREND_RIDE,2026-05-25 11:08:00,2026-05-25 11:21:00,7.89,33.43,23979.25,23986.0,1,1915.61,1874.06,41.55,323.59,PROFIT_TARGET,0.0,53.25,9.87
EMATrendRide,2026-05-25,CE,EMA_TREND_RIDE,2026-05-25 13:51:00,2026-05-25 13:52:00,8.19,32.75,23975.65,23982.0,1,1841.96,1800.43,41.54,299.98,PROFIT_TARGET,0.0,53.56,10.23
EMATrendRide,2026-05-26,PE,EMA_TREND_RIDE,2026-05-26 13:35:00,2026-05-26 13:38:00,26.53,8.48,23981.3,23965.5,1,-1354.17,-1395.48,41.31,-68.05,HARD_STOP,0.0,44.78,9.79
EMATrendRide,2026-05-26,PE,EMA_TREND_RIDE,2026-05-26 14:28:00,2026-05-26 14:30:00,8.41,32.14,23910.5,23925.1,1,1779.79,1738.27,41.52,282.14,PROFIT_TARGET,0.0,38.48,10.51
EMATrendRide,2026-05-27,CE,EMA_TREND_RIDE,2026-05-27 11:17:00,2026-05-27 11:21:00,23.9,8.39,23964.7,24039.0,1,-1163.6,-1204.81,41.21,-64.9,HARD_STOP,0.0,53.4,11.51
EMATrendRide,2026-05-27,PE,EMA_TREND_RIDE,2026-05-27 13:44:00,2026-05-27 13:47:00,16.26,9.61,23891.25,23955.4,1,-498.36,-539.33,40.97,-40.88,HARD_STOP,0.0,41.47,9.38
BollingerReversion,2026-05-25,PE,BOLLINGER_REVERSION,2026-05-25 14:39:00,2026-05-25 14:44:00,11.09,7.41,23996.0,24030.0,1,-275.32,-316.01,40.69,-33.11,HARD_STOP,0.0,70.34,8.86
BollingerReversion,2026-05-26,PE,BOLLINGER_REVERSION,2026-05-26 09:41:00,2026-05-26 09:54:00,13.76,25.93,24063.2,24034.0,1,912.83,871.35,41.49,88.48,PROFIT_TARGET,0.0,70.05,17.2
BollingerReversion,2026-05-26,CE,BOLLINGER_REVERSION,2026-05-26 13:00:00,2026-05-26 13:01:00,10.81,35.39,23980.55,23974.4,1,1843.35,1801.62,41.73,227.41,PROFIT_TARGET,0.0,38.49,13.51
BollingerReversion,2026-05-27,CE,BOLLINGER_REVERSION,2026-05-27 14:37:00,2026-05-27 14:38:00,27.72,8.5,23869.7,23940.0,1,-1441.6,-1482.96,41.36,-69.34,HARD_STOP,0.0,35.53,10.02
